model,k_factor,history_size,rider,premium,strike,expected_price,spend,overrun,profit,pct_return,premium_over_price
trip-specific,1,2,82,9.91020367682815,7.53580701832724,7.53580701832724,249.139121198501,24.8831862995252,-14.9729826226971,-6.00988819044899,3.97777901324949
trip-specific,1,2,83,24.2836265315262,21.903660367838,21.903660367838,615.535394391592,3.87555947447798,20.4080670570482,3.31549854695521,3.94512269363952
trip-specific,1,2,84,32.5036666391759,48.2056402124212,48.2056402124212,1335.67027995055,0,32.5036666391759,2.43350976113502,2.43350976113502
trip-specific,1,2,85,12.1439394297166,8.96909991654058,8.96909991654058,267.253754985675,7.29617368943025,4.84776574028637,1.81391866338649,4.5439733598383
trip-specific,1,2,86,25.0105574492215,30.0303066114994,30.0303066114994,875.502985299142,15.0881530733413,9.92240437588018,1.13333758336528,2.85670727218318
trip-specific,1,2,87,22.3282006156784,16.6621303194141,16.6621303194141,505.058549123835,18.1163959672801,4.21180464839823,0.83392403825354,4.42091330884564
trip-specific,1,2,88,26.2570230004887,24.6125544570478,24.6125544570478,717.554044136389,18.3901534870815,7.86686951340723,1.09634522691254,3.65923977643946
trip-specific,1,2,89,22.5626709048654,18.3775744122012,18.3775744122012,661.528903958966,138.87374379275,-116.311072887884,-17.5821603851037,3.41068557546579
trip-specific,1,2,90,22.0711319640283,16.4426567045051,16.4426567045051,489.666482333909,9.09575395235398,12.9753780116743,2.64983993795726,4.50738058664545
trip-specific,1,2,91,22.9120874808299,18.7148884880575,18.7148884880575,560.941724431617,12.8561106257649,10.055976855065,1.79269546497979,4.08457536369681
trip-specific,1,2,92,15.0166693061118,11.6983175999383,11.6983175999383,358.675418731606,13.9188580882866,1.09781121782515,0.30607372585146,4.1867015473811
trip-specific,1,2,93,35.1000133483607,21.0922908432871,21.0922908432871,646.005845045009,36.6901880895514,-1.59017474119072,-0.246154853456461,5.43338943719855
trip-specific,1,2,94,17.0407622190104,17.5472305113288,17.5472305113288,518.652344769042,5.76146915211362,11.2792930668968,2.17473095044417,3.28558472566025
trip-specific,1,2,95,18.1999452271614,17.5936872925783,17.5936872925783,484.582136029379,0.969817395755364,17.2301278314061,3.5556671512054,3.7558019320089
trip-specific,1,2,96,15.7515872655537,10.9297304401225,10.9297304401225,349.127574525365,23.4135608126016,-7.66197354704785,-2.1946056702809,4.51169956625964
trip-specific,1,2,97,23.2045512964458,29.1387092968263,29.1387092968263,887.978021966804,29.8717295253486,-6.66717822890284,-0.750826942105566,2.61318982254195
trip-specific,1,2,98,16.2357559384404,15.5016287532171,15.5016287532171,506.007386593235,42.6457103365714,-26.4099543981311,-5.21928238556748,3.20860057947965
trip-specific,1,2,99,19.999572239465,21.8560718679534,21.8560718679534,660.66495605261,17.1562535303392,2.84331870912585,0.43037226101931,3.0271882981292
trip-specific,1,2,100,13.447706853064,10.0008134556458,10.0008134556458,285.194310811456,4.60853182997868,8.83917502308529,3.09935180611963,4.7152787917829
trip-specific,1,4,1,36.6092441497434,32.719552945575,32.719552945575,996.98236541054,28.2091789107202,8.40006523902323,0.842549028995535,3.67200518483277
trip-specific,1,4,2,17.8714960572733,18.5427039182992,18.5427039182992,560.929469898815,17.4636077995119,0.40788825776141,0.0727164963957035,3.18605047805691
trip-specific,1,4,3,8.43633505350786,6.25653859379665,6.25653859379665,189.480216166448,8.28367168693737,0.152663366570492,0.0805695547847516,4.45235667564207
trip-specific,1,4,4,32.6795938709053,28.4246913539345,28.4246913539345,822.035145970146,8.03134489048468,24.6482489804206,2.99844223221518,3.97544971539357
trip-specific,1,4,5,17.4767381473767,22.2170622799294,22.2170622799294,645.157857007684,4.09713035607925,13.3796077912974,2.07385024393155,2.70890882867579
trip-specific,1,4,6,22.64879108288,25.0333490574891,25.0333490574891,728.38436595798,3.19919855312975,19.4495925297502,2.6702375062883,3.10945596053425
trip-specific,1,4,7,45.9691873949639,46.2972866766027,46.2972866766027,1400.26322169973,33.4120836560913,12.5571037388726,0.896767375181787,3.2828961499941
trip-specific,1,4,8,40.3504049361144,33.6864636857523,33.6864636857523,1054.0971436554,52.9201490929958,-12.5697441568813,-1.19246544140059,3.82795885360123
trip-specific,1,4,9,13.5115447512085,12.8626899047798,12.8626899047798,377.527457222542,9.32556125219254,4.18598349901594,1.10878915398951,3.57895683948726
trip-specific,1,4,10,18.9606438969675,16.4348212953699,16.4348212953699,541.625814218917,66.6479373752771,-47.6872934783096,-8.80447205919825,3.50069058734041
trip-specific,1,4,11,21.5349715303902,14.5946447391795,14.5946447391795,456.061227742615,20.205060964605,1.32991056578521,0.291607899309467,4.72194745363089
trip-specific,1,4,12,20.2550716424202,19.0472265579766,19.0472265579766,584.709718706956,20.892572187769,-0.637500545348797,-0.109028552964467,3.46412433287629
trip-specific,1,4,13,30.8821314356522,24.2101090049969,24.2101090049969,740.453695829502,20.5617624306031,10.3203690050492,1.39378992409345,4.17070393592352
