"","trip","real","normal_5","normal_50","normal_95","normal_F","normal_95F","t_5","t_5F","frequency"
"1238",14910,1152,1241.95417370448,1372.27893751367,1322.62560180286,1284.12049571161,1364.20829365363,1093.82607647839,1137.5179393295,2121.69377146515
"1239",14914,1479,1490.20970210318,1591.3069571311,1541.73219087903,1476.74781337848,1526.01701136713,1484.67396945665,1566.07970367791,1399.65310527895
"1240",14918,1517,1489.50039994768,1541.15006649895,1561.35557955622,1687.64597061002,1515.83998916328,1520.89580636312,1609.93820998764,1150.69463541422
"1241",14945,1600.78699994087,1739.50353413119,1744.28284479947,2052.60481796187,1733.77762018106,2132.41900411085,1777.44675490745,1599.10503997804,743.409638784355
"1242",14958,1481,1790.09128263311,1549.6385348218,1739.48417653442,1522.84513674101,1547.46664896574,1717.01521473352,1540.04291064208,821.148612795727
"1243",14982,672,606.372200584349,800.535071091901,610.96111687823,675.760933179426,937.82706011383,618.835666153175,714.521114990259,1983.27050862717
"1244",15000,3144,3173.46503953877,3861.96698159494,5237.39654829218,3122.95715308949,3947.91031166946,3116.3577508252,3180.86767932187,780.944620553372
"1245",15018,1116,1504.49134041996,1828.83837412222,2738.86865206912,1622.22857975633,2164.33612319294,1316.38228783574,1392.72466443301,243.307784418642
"1246",15021,1639,1951.152510609,1912.46615466732,2106.1971275424,1749.76158537614,2337.08448092331,1888.66578908568,1822.9506256051,1285.92872765229
"1247",15031,1682.13199996948,2673.79422500268,2093.13128820674,2546.55180543708,2136.81751420187,2593.43086495917,1900.05911767703,2159.54611290493,520.661679214078
"1248",15033,1445,1482.65737439593,1319.20361951234,1687.25729509841,1599.78306985251,1473.21297121738,1340.79552741734,1442.14691485704,127.772038047728
"1249",15034,849.213999986649,1037.46668036177,921.394073059894,1133.68231509399,915.386268784563,968.069869913403,885.648185580126,955.950371381151,2113.7120789798
"1250",15041,1113.03800010681,1255.90637433514,1163.57053032744,1452.85473949039,1191.81550318056,1226.70006768421,1373.40282068978,1085.5183109277,189.701902056278
"1251",15057,1268.10899996758,1219.325536896,1631.71390211143,1445.32486893989,1370.54673447883,1467.07484713758,1468.78923767207,1369.77781969882,1480.79625176104
"1252",15066,1719.03500008583,956.559186944619,1160.82277326564,951.196182252905,1299.64699433043,1423.53144161525,1236.91345324732,1154.17625311784,1552.90368795156
"1253",15076,1684,2139.4574142871,2054.26442333558,2144.56566223168,1976.34377731539,2107.49934334438,2441.41137671181,2321.99452856506,1485.76779438035
"1254",15077,1826.31200003624,1821.25449488181,1632.5194426077,1662.06463258421,1536.58916371891,1399.08926784713,1864.05237280312,1499.71664004225,1626.57126308845
"1255",15080,747,981.500111437031,776.119730655914,868.003268359522,658.110615194001,874.938126963643,791.878444426044,722.39035808771,268.786355813222
"1256",15116,336,477.962211075786,619.351051505437,787.207491082969,431.684916211627,573.96584876318,480.723925230755,456.152463257111,1248.97702513592
"1257",15127,1522.08599996567,1674.3531420154,1425.96417484063,1763.44704724846,1542.66633313243,2170.43349217366,1665.59500382919,1596.17001898873,1015.85418194941
"1258",15146,1675,1962.43702709004,2351.75003053522,3469.27072928348,1586.64356133304,2133.62375120141,2228.69514484868,1743.22625662639,735.610268995748
"1259",15148,804,1093.791992249,948.838217071932,1033.79364035022,1036.08742353585,1087.58613284147,948.261975256875,1021.74959779049,321.812671798305
"1260",15149,664.839999914169,768.976322797521,1024.54587582796,920.203855146878,939.944265359234,813.592304004501,996.733438208501,741.883112967944,1637.65190690122
"1261",15159,1035.89199995995,1286.60688665469,922.807737734196,1129.18646168669,1008.89819899871,1035.61672811054,1060.62672375387,1245.21739077896,2964.73362612717
"1262",15173,1031,982.733853972996,1386.12274739635,924.092065295049,1110.47174875415,1403.65381144217,1177.60188302906,1164.4347670828,1286.2319916468
"1263",15185,1386.3069999218,1782.51756451777,1418.07885820451,2316.56590289447,1536.41962547457,2841.1970153945,1172.28392554278,1552.56004738367,660.240172587231
"1264",15211,836,962.56040978306,904.875477932377,820.426669433134,1040.25842368824,853.146151387376,855.628346583565,916.552633632784,618.010899765735
"1265",15220,921,986.438600548217,975.833080269516,1087.34057225122,1030.87800255402,994.185826652113,846.775113589435,1100.86461402957,1398.90351288734
"1266",15225,631.986999988556,691.530860029254,639.398726306074,628.827277638692,580.305468858711,838.198238771793,668.237424802864,560.652689607252,1164.05117042597
"1267",15233,1676.8710000515,1855.50432889384,1280.77327125619,1446.4674857741,1185.31192173192,1547.48435829409,1497.85724983315,1777.64932065343,1080.0704043593
"1268",15234,63.9969999790192,82.9597086405669,70.4370503394821,95.8458990659747,77.7548401956506,223.635331944295,85.0230331853382,71.1522151675792,2472.63160145554
"1269",15241,248,265.545493620317,428.614328383857,536.392440432153,297.175403026648,296.725888911833,550.290219425892,523.666667732259,1829.43688462403
"1270",15253,985.101000070572,1032.78031674698,1453.3809832071,960.856022686872,1146.76793295116,910.374793050054,1050.53091379962,915.429850840716,1927.16875439862
"1271",15270,898.003999948502,861.474073260204,961.907151677443,953.573445279465,845.588367845911,1338.41938594063,918.152399786031,921.983040913298,240.856609868232
"1272",15288,925.006999969482,867.540721300603,1047.14602461984,1332.06428848455,863.113284876433,979.019412519495,1308.2077192064,1006.35590189114,2394.33824593289
"1273",15292,767.31200003624,714.212768158226,585.780423012358,553.132748916873,630.99992524297,640.322613973838,715.00007678029,698.098326906614,2535.69133137544
"1274",15296,1314,1208.37412573204,1556.05443662319,1667.28902587849,1426.4452012835,1484.25138896369,1324.91552937233,1246.20733128392,587.858681077046
"1275",15308,886.993999958038,909.258915697393,881.812789350016,775.942879733112,939.801613298866,4401.43594639907,917.995287326005,855.567065679975,759.618522934404
"1276",15321,1236.36400008202,954.914424504585,1231.20220176964,1667.33787844489,1171.83343305803,1241.24231344193,1081.64207274042,957.889316345063,809.123595635671
"1277",15329,287.990999937057,266.117990663506,235.264885689729,550.36077896029,208.952963089164,308.071429445697,215.153367726849,235.482719926006,2058.08671795471
"1278",15333,173,204.701247984359,121.854115354008,271.063923145212,117.590801822996,151.871796927161,227.937141430174,108.229887059285,338.772785284978
"1279",15379,273,220.077288919243,260.894002193782,226.302680536969,220.097627536942,219.194065037988,246.834247993933,200.275808271248,782.222967572564
"1280",15424,251,477.813940564293,440.450760758748,455.288573864417,572.742445634053,494.104260591393,453.003622097501,411.763247100177,1629.55248998305
"1281",15434,871.976999998093,1866.20701627162,867.993606234118,828.68785304294,709.238963167485,771.816066049772,722.871946693615,1183.68739110982,1610.9463388713
"1282",15442,1475,1639.81866303709,1486.39494447827,1639.80392482912,1647.06655404986,2297.35595406177,1742.4038868699,1683.22904978585,1552.52815545435
"1283",15443,1727,1728.97675884225,1721.86572468227,1679.26647797626,1713.56901397593,1849.79132054887,1771.77705192796,1762.38713840924,402.936279219249
"1284",15485,160.927000045776,157.233113397906,208.187236986964,254.851862564355,202.27739438138,253.096151579995,350.516395192013,197.629962250212,507.425529787338
"1285",15510,462,537.75375202047,569.62965076709,1123.24085107635,607.234172588196,493.062477809941,628.805134179802,746.736015169008,717.951965213239
"1286",15512,501,729.476581915501,733.605773530674,1858.59919981925,622.845842663573,928.678336557564,976.079998161657,686.426055333949,2104.04242514982
"1287",15521,236.019000053406,230.853608364377,313.006081970018,341.888748353741,225.747872217758,246.2911117414,441.829735527942,237.779323754221,1067.80629826167
"1288",15522,1121.9470000267,921.513495929996,2760.9458797323,1204.34121283504,987.150672553617,690.507763883278,948.964405377333,932.016706688052,1910.07273038743
"1289",15535,773,793.439080825443,778.532175984517,787.975866815288,843.969022050513,886.7509787552,769.240978099306,974.929504006445,870.804922352638
"1290",15553,906.003000020981,1184.05253723145,1485.19369732365,1337.19411781596,1065.58965656799,1303.59054510711,885.846521932972,1042.80330565015,1890.18283905213
"1291",15559,1056.98300004005,1143.69944563554,1332.08159735025,1898.64783211016,1148.27161886213,1395.31133532359,1246.16520120949,1746.52559168018,332.062397883955
"1292",15563,71,21.4274577277341,48.0795894493433,20.5862307170443,14.6098349712443,16.5612016515872,6.72414069640115,46.7151316895574,1342.83400731513
"1293",15587,2642.33500003815,2548.46336394057,3037.59120653319,2943.47605378445,2519.85131942831,3128.21585850121,2793.35616901459,2716.7528064755,162.566815210989
"1294",15620,1630.14899992943,1318.84906848776,1449.98820181752,1577.8772021591,1314.0020242989,1213.00040525856,1300.66023300409,1174.50975789804,2479.03142284664
"1295",15640,530.996000051498,750.113103391977,528.823422896032,674.173496837438,635.225190435321,537.982060140158,781.62979250222,560.739471472334,1547.71150938685
"1296",15643,177,166.181532656719,212.200348974485,142.38247219046,148.499232019593,73.804955138643,168.111587692453,111.78034231723,1344.46547996107
"1297",15644,926,1022.15331821011,923.358347016029,1078.41171852208,967.090367747609,1753.12259477842,991.627263990233,1050.77124921011,72.1740119964149
"1298",15646,387.276999950409,370.700718714622,501.138946491699,242.788499427088,334.640998393504,452.094857646632,537.416223682192,358.776784639602,820.134832057815
"1299",15665,141.993999958038,147.016006319593,146.067057367328,152.194006115837,151.120995879593,147.291355520919,151.626206632758,149.245055406643,456.020521625077
"1300",15669,590.943000078201,3903.74981430326,640.200722342696,970.346209999623,958.476760603737,536.725066479671,598.729682967695,618.440174182433,2154.23505530106
"1301",15691,492,835.885256458183,730.000186393603,688.568545861749,705.481239276264,772.485144214079,718.743456437295,736.344343896577,1434.38396706438
"1302",15715,1826.71099996567,1953.1465805228,1620.07064448934,1359.08669107114,1626.13210380592,1824.04439082991,1956.89312342765,1586.68875745292,191.229097445381
"1303",15722,942,1078.4735363861,1030.7221454136,1091.78455192016,927.575968854524,1324.1819067248,1219.66348155717,1208.06798316363,1002.08932886527
"1304",15735,639.428999900818,842.276155041623,685.181721308899,1163.32041742398,694.317507594217,694.39644213157,847.280663060281,616.611221698398,2452.12083424338
"1305",15743,862,1149.29495274704,824.709208460264,1143.09060505425,811.382349732786,878.190737353445,854.591552118705,1256.54381672202,1486.29040593751
