tripID,premium_trip,eta_min,distance_km,duration,distance,real_price,strike,premium_pop
13018,0.27231912239236,13.2253145405943,7.447906,756.44,7447.906,13.7813887333333,13.9729629075842,0.832014952887892
13059,0.815735211090737,28.3811677605929,25.662542,1277.75,25662.542,32.8679961333333,35.0644498057838,0.878016815039115
13064,0.417968909151694,30.63858348687,21.515267,1911.82,21515.267,32.4114769666667,32.0317011809297,1.327436651158
13082,0.671559607185916,17.4091661028552,15.247969,793.13,15247.969,20.9910104333333,22.2900135918851,1.00344778861613
13096,0.509778654903624,30.407705653335,34.790512,1554.94,34790.512,42.5153174666667,43.9078495525338,1.30953780985511
13098,0.363467787772203,14.9099303002769,14.559693,951.21,14559.693,21.1883087,20.8958020930858,0.651758457234666
13103,0.404865417694709,28.3592374273513,19.25182,1765.36,19251.82,29.6176646666667,29.2880016024789,1.36829038101015
13116,0.305685799048532,17.5983332665918,24.169036,1206.98,24169.036,31.1581957333333,30.3776157126435,1.17664683047127
13122,0.505728826527504,62.366208097309,55.917913,4194.77,55917.913,75.1691000333333,72.8296462101658,2.00689557723226
13123,0.411411581653249,25.9409264315568,20.204056,1514.85,20204.056,29.1803754,29.3953375937826,1.41908947179422
13154,0.202846440207303,19.1611693465911,22.390582,1018.03,22390.582,28.5813454666667,29.2614862974432,1.27298534973709
13157,0.133590594166718,3.0594582525308,1.415492,226.34,1415.492,5.61336613333333,5.39237485828455,0.434505638156444
13179,0.239888548790235,12.7766662058937,6.452886,955.18,6452.886,13.9126940666667,12.9383639238271,1.15641643721483
13182,0.432791942002787,18.7761642987696,7.935919,1134.87,7935.919,16.1758221,16.1329380326186,1.13582577399142
13189,0.17647942216685,5.57135566238908,1.715675,279.01,1715.675,6.15565916666667,6.44122775534061,0.627154867885082
13207,0.354909732346653,8.24038600457121,4.442174,552.35,4442.174,10.0217649333333,9.72247626141707,1.00344778861613
13214,0.271688742026714,22.2030686018594,22.244523,1569.34,22244.523,31.2983273666667,30.0730219665764,1.14273055354081
13216,0.592361252778404,37.2736700536873,25.183802,2128.59,25183.802,36.8331368,37.3902595166431,1.46813190522838
13278,0.575582997325107,37.8928720159017,24.37423,2400.35,24374.23,37.5086153333334,36.8535973249295,1.46276394610239
13290,0.415808684997952,27.5197952495051,31.858467,1640.16,31858.467,40.3167803,40.3737568273466,1.29139091217287
13291,0.302138558171159,8.45233109174623,1.4378,556.27,1437.8,7.33808166666667,7.08424263844133,0.627154867885082
13320,0.313047629747666,20.6082623178828,14.601311,1427.59,14601.311,23.6870615666667,22.6997412185437,1.26679073706464
13327,0.458877713840767,17.4211590109049,14.048951,1156.91,14048.951,21.7914242333333,21.2146151933805,1.01125683859793
13360,0.478375073244304,27.2950676350803,34.678389,2102.88,34678.389,45.2454301,42.8420210668749,1.00344778861613
13363,0.627157512089843,42.2750884457018,31.067308,2964.42,31067.308,46.4467472,44.2358546181676,1.327436651158
13383,0.703063331230993,45.5956666036929,34.023302,2998.04,34023.302,49.2808451333333,47.9256284471448,1.47880936885539
13396,0.267226976411135,16.5158105491229,12.698311,1193.4,12698.311,20.7643799,19.7183811702281,0.869011276312887
13406,0.369852321896347,21.6994804575821,11.275658,1136.3,11275.658,19.1889755333333,20.0449311418505,1.16319899647185
13435,0.570720824569037,41.9722000523448,23.8958,2462.33,23895.8,37.3982583333333,37.6876020162269,1.62092540393562
13488,0.390691322141428,22.4036366427776,20.665773,1392.78,20665.773,28.9652257,28.7143230592611,0.971584143524735
13500,0.353115971509498,27.3101322104276,22.137159,1998.72,22137.159,33.4201631,31.5595840852326,1.12887876219315
13533,0.458477739278977,24.5264567458624,15.79217,1466.55,15792.17,24.960128,24.9861545912173,1.12887876219315
13548,0.453573016167111,24.1355526096213,11.811562,1351.52,11811.562,20.7832591333333,21.2824271089826,1.20309163416092
13549,0.561770827095517,35.8147317289808,29.610172,2689.97,29610.172,43.7173331333333,40.921721635984,1.3567434202899
13566,0.423374424356386,39.1858968737718,36.347836,3041.02,36347.836,51.5949890666667,48.0306804308693,1.42462200533674
13580,0.527163451791582,18.4467501751442,13.956016,1035.13,13956.016,21.0785860666667,21.4489069542947,0.995577488368498
13598,0.438369869186695,36.8551603290445,25.48015,2684.72,25480.15,39.9731883333333,37.5272347020038,1.61606504695553
13601,0.690768152971717,24.4466111155667,24.15192,1124.23,24151.92,30.7152496666667,32.4851774458257,0.987644473590395
13609,0.413857509666421,28.8931409673005,14.809635,1876.08,14809.635,26.1917515,25.4555451998632,1.327436651158
13623,0.283016384933923,24.1664038463227,18.542626,1667.62,18542.626,28.4744000666667,27.34994859236,1.29746807944364
