tripID,realized_secs,simulated_secs
8101,1669.65,1170.19271099154
8121,853.73,1358.41921657015
8133,1049.77,1325.43804592956
8139,2797.17,2617.06757854145
8168,1454.25,1561.23183919434
8180,444.07,501.696924880713
8188,656.71,609.239106314727
8192,953.05,977.766194948506
8202,442.03,740.483243586223
8203,2738.05,2029.8343959648
8205,1063.04,1105.0483902691
8211,1228.86,1485.49904411588
8224,233.59,336.812256493247
8232,540.75,845.385728440712
8267,1949.54,1780.86242465229
8298,642.65,650.786823083594
8316,1414.73,1705.10823810629
8317,1346.75,1161.37422246959
8327,2031.97,1814.10770718701
8352,742.33,680.214848950511
8355,1638.23,1841.1599475472
8357,1240.23,1231.16130223339
8360,1469,1350.24008162124
8383,938.15,936.054572159842
8391,1791.81,1723.69313357857
8398,1679.57,1558.99777902383
8407,2020.72,2101.0537408587
8408,241.07,291.373039750267
8410,879.97,1063.01149827384
8425,1650.45,1394.40419145822
8448,1596.33,1188.70567304834
8454,1697.07,1757.55318932514
8475,761.45,792.18960553111
8478,2225.15,1697.49070170511
8497,1278.13,1270.28211508403
8510,1557.84,1874.96055744481
8513,1166.37,1188.0676855905
8518,432.64,634.849572649446
8534,2351.64,1851.82618791042
8549,1097.53,997.243928522687
8557,1509.42,1482.28149869925
8588,800.36,812.393076480006
8608,2753.06,2043.56820036801
8614,676.66,794.106658367849
8626,2140.93,1880.11167058554
8634,1908.06,1773.07651108002
8668,1525.05,1487.82623786441
8676,1397.71,1429.28586906429
8679,2561.36,2252.33440434094
8680,1756.24,1570.00233511671
8687,1351.28,1657.07078487674
8688,669.84,607.541280047554
8702,1751.28,1845.82111033557
8707,1199.11,1480.18871906212
8715,2028.01,1830.55383550693
8741,2256.29,1929.72347650617
8753,1084.13,1164.37825808074
8761,1154.84,1580.56429008545
8765,1403.53,1420.55282182221
8774,3074.14,2405.59135925944
8780,2018.73,2193.53452502966
8787,1842.14,1590.9001470198
8789,5173.62,4498.62713974094
8821,435.49,529.195535279568
8843,702.95,774.698414854644
8845,1576.47,1863.08547720462
8854,906.19,950.071597451077
8871,1669.75,1744.87733030708
8874,1168.04,1591.32522448333
8875,931.14,1226.04565656502
8878,2350.82,2081.50073691343
8889,1717.51,1569.34028765545
8891,1363.57,1364.55862697211
8898,1221.71,1373.64198185853
8904,1695.74,1851.24063294683
8908,640.62,600.484533838718
8918,235.55,197.844129126444
8919,1738.48,1746.10522427051
8923,880.72,875.833306143861
8936,1010.69,1090.26378244465
8946,1301.71,1328.96152474923
8984,2247.07,2220.30209175633
8998,1739.84,1637.49069856548
9011,3678.95,2517.30873358797
9013,565.13,592.568856288628
9052,1103.56,1246.21524971965
9053,941.48,1031.7527592322
9057,570.81,786.123213220897
9078,900.29,927.998652107125
9090,1018.03,991.651611861665
9099,2867.12,2510.65077325713
9100,1673.46,1668.64980843986
9101,915.13,861.081889440315
9104,1627.87,1411.45861297641
9119,738.51,701.042927494022
9122,781.29,805.652732098483
9123,1103.35,1343.82648256767
9140,1627.34,1533.22854298982
9144,545.8,581.659508547035
9163,1546.39,1439.71879458093
9193,891.21,1361.44751719439
9196,1690.94,1769.76344478516
9216,2455.1,1980.79736984652
9219,1207.32,1260.93976645179
9243,171.98,262.227626614449
9257,613.72,579.466227443766
9259,875.29,984.696319896773
9268,352.16,383.017121538751
9273,1878.12,1348.98457660922
9279,1218.03,1398.74621687287
9311,1448.74,1285.43663579247
9323,1138.14,1532.94220500709
9347,1311.32,1456.64461120785
9392,1996.53,2190.27958235962
9468,1051.53,1081.54210920048
9477,1729.59,1327.75576800933
9494,1903.31,1891.71413624339
9496,1446.56,1233.62796864733
9521,857.09,909.030532004224
9522,1849.03,1738.21394796579
9527,2250.85,2424.73324241193
9542,419.87,327.729151556272
