tripID,realized_secs,independent_secs,first_secs,second_secs,full_secs,population_secs
12820,295.97,330.536369833654,329.732840222421,329.570453506794,332.070028068817,280.129649458294
12821,1542.93,1670.20028237427,1680.1182615948,1689.85654323113,1680.34701564258,1432.08137271878
12829,1203.66,1222.57943016776,1217.36139992093,1223.50813179973,1235.91839008715,1135.98527527279
12857,1728.56,1416.18778360011,1424.62010702487,1422.11036218826,1412.34695072328,1885.89928456377
12860,1853.38,1535.48813034738,1525.51073812682,1530.55423680047,1519.98994985951,2060.32200162876
12865,1884.64,1931.48369579717,1939.9520829035,1939.19965018708,1934.08751363431,1881.21102350363
12889,1012.35,1005.104413413,992.51737892776,1002.67517396748,1008.11490813088,977.594883105733
12902,1286.98,1321.72412299571,1324.38000432687,1316.43405977183,1293.94739745361,1280.90010966179
12913,1415.59,1415.6377647614,1409.08032687736,1412.10421155804,1421.65369062252,1600.9887813601
12917,2732.35,2743.8213655333,2749.97144136195,2739.93334464971,2749.14564828196,2673.74381007642
12968,183.14,290.513576108825,345.757328376953,336.877056159067,296.279994654011,175.319227823496
12975,1808.57,1385.02842986947,1384.56503478333,1383.1178407924,1388.71886504058,911.996058274228
12982,1088.37,1258.55765266513,1222.2760244909,1201.74886131833,1214.6372767701,1123.18673206327
12984,958.46,896.749590290965,901.821476055325,894.086344567266,899.549693552406,1044.32120744326
12987,1283.75,1254.9129449108,1237.43744352484,1259.81645577184,1248.97372055979,1211.02166396519
12990,707.72,783.01370939644,780.950565970724,776.577598626922,774.664384985664,577.157365416728
13003,2318.21,1736.36091326169,1735.48728754953,1726.12390554305,1728.49637087727,2250.00015080276
13004,1092.62,1231.20204958042,1242.35166980757,1258.08439492392,1244.18481321452,1158.58553406718
13018,756.44,848.539767291949,854.507899847717,835.879219588541,853.148923936923,591.278911657013
13059,1245.03,1515.66580797716,1526.83885074711,1530.66677272587,1533.80929259592,1329.98319994296
13064,1911.82,1914.58863249503,1925.90318892571,1924.96501534023,1915.33616415979,2124.53391946746
13082,734.46,789.191668547618,783.023757808281,784.654505035656,784.313279933525,1007.104825568
13096,1554.94,1868.73476726794,1871.37718894519,1869.00965931388,1879.94708637283,1438.74523643854
13098,934.61,1026.76323712388,1025.44809052082,1035.37204759535,1012.17140939661,1204.15559638265
13103,1765.36,1703.71363734767,1702.34183118072,1708.94340376732,1689.76644143097,1904.34098614878
13116,1206.98,1017.87870856774,1014.84932030989,1014.01447276223,1017.08225784773,1271.15488386259
13122,4161.55,3695.57296733467,3688.16827456102,3701.1747409819,3708.46786421255,4488.97745165833
13123,1514.85,1544.17552395574,1540.44166709288,1546.84431285268,1540.86551483001,1557.24213738338
13154,1018.03,1153.68788882258,1157.56645981077,1159.09615066215,1156.35569648415,947.426864377563
13157,226.34,252.959431486383,257.445162593036,252.915207600633,262.833939100442,203.841513267387
13179,955.18,896.400518688751,899.549192630364,897.255260978874,890.308806516833,1067.73953420952
13182,1134.87,1415.41052246904,1525.71271947066,1501.83736537436,1367.22656871362,1409.46510447265
13189,279.01,393.104796531056,391.031172275602,392.402748715258,385.568050294512,279.244410536002
13207,552.35,680.30955982977,677.591709754452,661.059964000225,683.939791637147,712.116562039747
13214,1569.34,1322.06711584065,1322.69679014084,1322.2139188255,1318.77022619985,1159.15117906242
13216,2128.59,2207.57775535605,2223.36701913936,2227.44747177652,2233.890864457,1687.17009205493
13278,2400.35,2201.35669121381,2180.10638503716,2197.22461459947,2207.95002244922,2568.02894487201
13290,1640.16,1725.18193449924,1732.40597409751,1731.07829546255,1729.12567535972,1576.16432441201
13291,556.27,568.798404136385,577.205709345057,574.527836367147,574.691313624505,758.461396946973
13320,1283.02,1208.05359270348,1212.29361963498,1210.08974344715,1204.12003310745,1456.37424113012
13327,1156.91,1061.50337305485,1042.77876273345,1046.31006280747,1045.41933167692,1290.37307461396
13360,2102.88,1592.39542956684,1590.36316095997,1586.4115631736,1589.89276545874,2146.2104956189
13363,2964.42,2463.78006602833,2471.77031891506,2477.17763568173,2477.42456947431,3164.8051923938
13383,2990.62,2696.21355741337,2687.73937180268,2699.75604429842,2681.35237812041,2821.54709306911
13396,1189.4,1058.48273281386,1056.53578295311,1047.13030401794,1047.8014701853,1146.416352158
13406,1131.8,1331.82133948113,1341.16462850761,1319.53161289907,1329.79304504311,1083.60446024707
13435,2462.33,2462.92646345459,2448.38055819139,2454.02057179113,2465.01567517742,2467.5631838524
13488,1392.78,1345.80962993913,1328.53079067009,1357.85002559493,1337.46047746504,1904.91505473287
13500,1998.72,1746.77579638573,1733.74444750206,1760.52891990801,1782.66365912843,1955.23110283145
13533,1466.55,1489.47385027447,1490.72855979753,1480.09480067007,1490.42915148922,1756.53414475393
13548,1336.02,1442.71252230512,1427.95029358622,1434.37823117605,1444.68058920555,1498.10598709014
13549,2689.97,2702.49266700723,2628.54902915366,2584.62362217414,3348.11943959887,2777.74377284419
13566,3041.02,2366.85987012318,2345.16634480599,2351.38335657766,2347.03283767325,2699.51019202878
13580,1035.13,1009.91069031228,999.00433684501,1003.47981610882,1004.18184746691,924.588684011014
13598,2684.72,2311.9079238621,2313.68934854573,2315.46069149899,2325.92664079749,2006.76114538315
13601,1124.23,2676.91024852417,2769.11558370171,2702.84995102095,2952.80891738103,1080.10606732828
13609,1876.08,1726.99139290176,1730.69416062366,1727.82961155388,1716.92876119781,2153.02113193388
13623,1667.62,1497.1107260591,1498.00110061568,1501.28455798926,1508.55654653032,1983.4201038495
13631,1011.63,1183.20008902008,1181.82314126325,1185.1402044555,1186.6919324884,1100.46247699721
13633,1033.81,995.730300747517,992.832819824871,996.998994893468,998.33991907014,884.370218495903
13666,716.61,506.92147474869,503.533531737061,502.51779827552,498.622330443328,973.40273583219
13669,279.18,372.644707882029,369.450316502349,371.532875334645,369.961423902224,215.604069658125
13684,190.96,303.552572461315,317.182954547721,315.625247522134,307.012764405358,227.616970408541
13687,1082.3,1134.61364354817,1131.22618397592,1136.68932856387,1137.12381767933,1399.41402483709
13690,697.11,703.091153653425,705.115171461091,702.969236834225,702.356620498291,674.864616785703
13697,2432.87,1572.55562181885,1572.64138960888,1579.41883785637,1563.83760270976,2120.265393271
13714,988.29,1088.81541372089,1083.45762076345,1091.35716119654,1085.57420009152,935.996020864841
13717,1755.01,1743.82084502936,1761.73192423704,1751.36428445415,1758.17451680032,1988.35690835938
13720,1600.11,1812.15001423943,1806.8111452886,1803.38464072367,1807.32672687705,1778.64260096244
13750,765.53,831.024097354495,828.54464570838,828.750143508922,824.346106717707,869.523095851143
13761,1446.35,1853.63895977133,1846.46780763839,1856.54883384835,1838.95172162478,1727.2110050942
13787,2387.63,2678.75087017566,2685.29423566694,2674.95620543108,2673.07131170116,2479.72124954825
13793,934.19,1305.80154595495,1306.14741502015,1308.80568427829,1299.69679135623,787.842545366604
13827,818.7,971.217991825932,975.375842491097,964.638543614264,968.182410896944,890.905061901359
13831,900.92,865.364069667805,870.250588182732,860.300165620651,878.794293200378,927.368320984239
13856,895.32,1178.64056469879,1181.22874721069,1163.55623871692,1163.69699751318,918.925896650484
13890,533.87,569.18055255678,558.643127247557,565.998475849003,559.42392646067,558.129618741465
13896,885.24,951.492690565223,953.617700495108,951.756572380505,948.96078183966,686.621445480526
13910,43.65,21.0499999999996,21.0499999999996,21.0499999999996,21.0499999999996,73.1855410321176
13914,1941.49,2213.93589198708,2212.11065900555,2218.98222685513,2217.07425897268,1876.59043514641
13966,1518.12,1403.90344777754,1403.58440615408,1399.17237118946,1402.22330065359,1710.62685896054
13979,944.43,1071.95549000922,1063.10894451028,1048.9645222484,1066.63670368285,1088.13179094114
14028,2466.89,1538.71629888448,1516.23066749112,1552.18151247549,1523.51060893372,2282.86516944223
14047,322.37,388.08467886719,389.698706254058,391.353635821908,391.337557930894,317.852419962624
14069,1091.51,1117.80069059355,1122.66573659397,1130.2049209978,1139.35053008675,1058.8577321194
14077,1597.7,1775.77538079114,1770.88518279336,1772.432426486,1780.79211667438,1603.99245600024
14081,1006.08,823.277654580635,826.3451133186,825.538194261494,825.963123857968,1017.46373322299
14082,2448.26,2748.49076460731,2766.49179158447,2767.41119362468,2731.19168725658,2391.57150101832
14100,1259.38,1751.07966155618,1742.49061232577,1735.48065673706,1761.38563938508,1338.16235838844
14126,1264.01,1228.05952068605,1227.84337482707,1227.39771267824,1233.37107759555,989.821161477651
14133,1950.67,1536.37769192202,1527.60254146962,1541.30997488053,1526.70828628017,1404.12713398496
14139,2824.37,2199.1280776099,2164.72388390954,2191.83219982687,2146.35280857743,2983.00985744917
