tripID,Realized,Normal 0.05,Normal 0.50,Normal 0.95,t 0.05,t 0.50,t 0.95
1705,1817.5,997.027258292499,1243.77246249097,1387.25913662093,1017.91699167247,1045.70756806549,1949.79866042703
1710,1674.04,1896.25756538538,1742.78938355719,2023.69972407138,1645.84132729671,1653.35115139388,1454.95888559743
1713,562.82,615.313183234239,724.326972835807,737.140970196752,626.238202044901,588.609928426346,474.863359985125
1725,1301.98,1548.08865298346,1041.2488693462,1955.71585438857,1343.30216992735,1317.19947152782,865.363830652469
1728,263.94,250.658876036152,249.81857779601,192.169456419593,144.244984605033,165.166246625039,204.689102392127
1751,915.78,919.799418688084,1333.44237825271,1001.50040133852,1185.70218667771,998.333765475786,1308.03990609421
1757,1096.56,1171.94681492975,1079.6089083016,984.920729196074,1079.5691531609,1101.94430757833,1225.69984810104
1764,825.79,1450.88556943133,1120.58916329337,1206.90244797497,962.619875160565,883.680912685862,1082.82473319395
1773,1271.87,1017.67930081671,1069.28999141267,1178.41536231361,991.339054299256,1121.40137527826,1181.25887612454
1803,1087.29,1088.23385912134,1031.00713274287,1030.62730519678,967.661492043638,1392.57764922671,779.470630145716
1804,787.240000000001,728.706402408025,763.756250449112,775.135666992571,744.042642303136,802.008758075926,789.761450450285
1811,2256.39,2066.46638595893,1906.48672673986,2006.01829050909,1899.556140169,1532.54874487256,1421.52831414493
1826,726.22,584.195225820492,592.3403088654,763.666765821989,554.936485517438,538.852916800823,517.542370468086
1840,1345.18,1181.74486985867,1113.57923380905,1276.95207282999,1117.20270855672,1057.39791310492,1098.10266085529
1857,109.87,125.507960654101,127.09120823129,124.540085340874,139.793288933241,121.746740018478,121.284578414935
1859,949.21,889.564423731786,1289.25730264216,1107.66936145301,835.371925134945,895.398688010012,919.285673429316
1867,1079.59,1284.67314318692,1265.57557230222,1376.89196923155,1604.2109775918,1208.62053007911,1266.03865565635
1938,209.81,165.377405194043,192.812234790097,205.435255406343,206.865319653088,190.665479486847,248.132981473531
1953,1062.91,5168.96927673306,1283.5402904609,1625.71323651741,1813.35403287035,1942.12212425996,2494.6412684906
1956,927.05,1231.55688397526,1270.72991590757,1331.724102189,1779.69003400306,1125.76276304041,4382.27879869245
1963,1106.76,1567.08584500023,1431.34371554253,21870.8948774577,1135.75898334537,1116.19450865994,1550.27981722093
1995,1149.52,1107.52953346373,952.603606255323,971.693708703006,1147.5106581035,1463.04112748522,1245.01353736732
2004,2755.82,2694.23485500708,2750.94475939943,2929.08736185324,3076.19115007788,2992.51505201783,2391.84685853359
2010,745.56,690.435223732973,721.478126172507,1054.65396022838,730.98013557157,798.948793051397,564.746379917163
2044,2867.63,2850.52002848279,2286.51179223756,2482.17219445797,2672.91652912538,3559.7916413703,2757.08623498529
2058,626.07,765.934391844923,695.055035033972,708.849201025465,614.618598661116,600.455246496425,667.376539565264
2067,1439.03,1916.65943573599,2573.38965426069,1425.5311032782,2216.91500798406,1696.35890989585,1906.61192317677
2078,4514.44,4795.18212036068,4666.26097639009,4679.68238545917,4564.88652345173,4895.08975380318,4419.38235456798
2091,267.31,235.856647029885,242.250554335327,248.205089073843,222.269939644858,329.533774601857,280.924973897017
2099,826.57,1130.83115869957,1314.17673940485,2020.81709454749,988.555967533797,979.322236431245,1061.13628369918
2108,1841.32,1506.24996044153,1640.83394787427,1782.06804993687,1547.52670696649,1515.67948829272,1609.0527875203
