"tripID","start_time","end_time","duration","distance","real_price","payment_trip_specific","payment_population","profit_trip_specific","profit_population"
19143,2014-04-29 07:20:56.308,2014-04-29 07:40:50.401,1196.19,10839.004,19.1054186,18.7495936944587,19.9835819066245,-0.355824905541336,0.878163306624476
19145,2014-04-29 07:05:15.242,2014-04-29 07:32:49.756,1666.9,19441.87,29.2799996666667,30.2598767003434,26.4233291614972,0.979877033676733,-2.85667050516948
19157,2014-04-29 07:09:01,2014-04-29 07:38:21,1868.57,21897.801,32.5322992333333,35.202884721493,30.8625443110513,2.67058548815969,-1.66975492228206
19158,2014-04-29 07:08:50,2014-04-29 07:42:38,2022.5,15301.696,27.3911097333333,28.5045118326717,32.7101113287905,1.11340209933837,5.31900159545712
19224,2014-04-28 08:57:50,2014-04-28 09:12:11,868.15,13441.262,19.7525774666667,20.673299559345,22.6964315334691,0.920722092678311,2.94385406680245
19235,2014-04-29 07:22:17.95,2014-04-29 07:53:32.723,1865.46,12549.572,24.1028248,21.9683216544832,21.8012584116866,-2.13450314551678,-2.30156638831338
19243,2014-04-29 07:25:57.573,2014-04-29 07:33:04.301,437.43,5821.411,10.6693249,11.0216045725954,11.9052296121706,0.352279672595383,1.23590471217057
19246,2014-04-29 07:10:25.565,2014-04-29 07:56:12.549,2735.33,21839.966,36.9585077333333,37.5104902516704,40.3212089820258,0.551982518337091,3.36270124869242
19257,2014-04-29 07:21:07.688,2014-04-29 07:57:01.877,2157.4,16404.353,29.0804843666667,27.6131104686551,27.4860521146894,-1.46737389801161,-1.59443225197732
19269,2014-04-29 07:41:45,2014-04-29 07:58:18,1008.25,13645.089,20.6598717666667,20.4348114079797,21.2062262614972,-0.225060358686999,0.546354494830524
19275,2014-04-29 07:45:23.394,2014-04-29 07:59:50.938,878.23,13475.19,19.8351926666667,20.8365236222795,21.8917990381176,1.00133095561281,2.05660637145094
19296,2014-04-29 07:08:32.288,2014-04-29 07:13:03.003,269.52,2698.201,6.9909009,7.35360146122289,9.85246453399656,0.362700561222892,2.86156363399656
19313,2014-04-29 07:08:10,2014-04-29 07:57:35,3001.32,40623.69,55.238141,57.4943594018727,52.491645042738,2.25621840187275,-2.74649595726193
19315,2014-04-29 07:26:21.345,2014-04-29 08:05:00.812,2327.53,20947.824,34.0486132666667,32.7516648225869,32.2186491687185,-1.29694844407978,-1.82996409794812
19323,2014-04-29 07:34:35,2014-04-29 08:05:57,1900.45,22043.388,32.8280408666667,32.8769267840001,31.3631152960356,0.0488859173334362,-1.46492557063105
19351,2014-04-29 07:40:30,2014-04-29 08:12:15,1954.94,20319.354,31.5579419333333,30.9550592576879,32.2037725167551,-0.60288267564539,0.645830583421798
19354,2014-04-29 07:47:14,2014-04-29 08:12:24,1502.76,17489.121,26.6744689,27.013096230428,29.7482864674106,0.338627330427961,3.07381756741061
19356,2014-04-29 07:54:43.497,2014-04-29 08:12:28.621,1118.9,7270.49,15.4944243333333,15.2843730611068,16.6791254813005,-0.210051272226488,1.18470114796718
