model,strike,h,lambda,k,u,n_members,mean_profit,se_profit,mean_loss_ratio,se_loss_ratio,pooled_loss_ratio,median_loss_ratio
population,0.9,8,0.5,5,0.166666666666667,100,66.9853659149549,3.21366547523213,0.192810012919799,0.0178256465857205,0.179839018630517,0.154592062401467
population,0.9,8,0.5,6,0.2,100,64.4555507452655,3.25254964643297,0.224826167998454,0.0209216670274381,0.210813779519189,0.184427502030373
population,0.9,8,0.5,7,0.233333333333333,100,61.8276420593945,3.32679551918937,0.258224642783909,0.0244014834541227,0.242989585940695,0.20264813560077
population,0.9,8,0.5,8,0.266666666666667,100,59.4870523033458,3.39426204077026,0.288855941542361,0.0271354621557917,0.271647493008657,0.236808608811102
population,0.9,8,0.5,9,0.3,100,57.3140511674585,3.49596748096029,0.317403549859666,0.0301416270727674,0.298253464623249,0.256715642939413
population,0.9,8,0.5,10,0.333333333333333,100,55.0667274559165,3.60293270303959,0.347069798586385,0.0332177068391514,0.325769433156634,0.277971821009589
population,0.9,8,0.5,11,0.366666666666667,100,53.0123309378599,3.72402935736297,0.373661826611443,0.0361858109972825,0.35092322371009,0.304484816018774
population,0.9,8,0.5,12,0.4,100,50.9961582834811,3.85267165473714,0.399962552295487,0.0392013634441336,0.375609005749782,0.313941893505998
population,0.9,8,0.5,13,0.433333333333333,100,49.0759641232871,3.99182227381319,0.425400297037282,0.0422951547658052,0.399119638338461,0.331464329607129
population,0.9,8,0.5,14,0.466666666666667,100,46.9257287985846,4.11801454155724,0.453285590684598,0.045258853296816,0.425446868025051,0.3645106213205
population,0.9,8,0.5,15,0.5,100,44.7916727011243,4.25319351649735,0.480591887655257,0.0481932343671272,0.451576001146646,0.375363134750269
population,0.9,8,0.5,16,0.533333333333333,100,42.9920492137245,4.39650971949188,0.504102483230704,0.0511035245082643,0.47361038052729,0.390282903229789
population,0.9,8,0.5,17,0.566666666666667,100,41.0533764979234,4.52698488273186,0.528034917357652,0.053443314110159,0.497347262388387,0.429239199759148
population,0.9,8,0.5,18,0.6,100,39.284678723611,4.67611655018808,0.550559419981961,0.0561035318765177,0.519002990957038,0.440478364146224
population,0.9,8,0.5,19,0.633333333333333,100,37.7292840108631,4.81398682739263,0.570931989376938,0.0584877296382108,0.538047061801466,0.455052510317486
population,0.9,8,0.5,20,0.666666666666667,100,36.1541712701597,4.96766129857527,0.591363821995459,0.0611759251116641,0.557332557872697,0.476830819126429
population,0.9,8,0.5,21,0.7,100,34.4994767155817,5.13951679581679,0.612742026084979,0.0641714275931942,0.57759244436003,0.482783218186353
population,0.9,8,0.5,22,0.733333333333333,100,33.0960631392043,5.29951795820239,0.630549649944822,0.066800420192953,0.594775675956171,0.495646105282789
population,0.9,8,0.5,23,0.766666666666667,100,31.5471640085685,5.44812645178655,0.6513538364234,0.0694582016289248,0.613740215653355,0.502581784192765
population,0.9,8,0.5,24,0.8,100,30.0278146018997,5.62130762697979,0.67103597014482,0.072305721240578,0.632342951988314,0.510871858667336
population,0.9,8,0.5,25,0.833333333333333,100,28.5820705274743,5.79885987816472,0.690286989931944,0.0751603595933868,0.650044473248872,0.53045711955552
population,0.9,8,0.5,26,0.866666666666667,100,27.2665729893983,5.97963905564174,0.707933638902706,0.0780207535640089,0.666151271160335,0.53045711955552
population,0.9,8,0.5,27,0.9,100,26.0108455469202,6.13204308782656,0.724037095404786,0.0805058289392072,0.68152625101583,0.538548071248386
